Paint Sundries,1A,"Drop Cloths, Caulking, Tapes, Glue, Adhesives, Patch & Repair, Sheet Sand Paper, Paint Sprayers & Applicators, Poly Sheeting"
Cleaning Supplies,1C,"Cleaning Supplies & Household Brushes, Mops, Brooms, Sponges, Waxes & Polishes"
Paint & Coatings,1U,"Paint, Spray Paint, Solvents, Roof & Driveway Coatings, Ladders"
Hand Tools,2B,Hand Tools
Power Tools,2V,"Power Tools, Accessories, Abrasives, Sandpaper, Wet/Dry Vacs, Welding and Soldering"
Basic Electical,3C,"Basic Electrical Supplies, Light Fixtures, Wiring/Wiring Devices, Receptacles, Ceiling Fans"
Promotional Electrical ,3N,"Telephones & Accessories, Bulbs, Batteries, Extension Cords, Surge Suppressors, TVs, DVD players, 2-Way Radios, TV Antennas, Audio/Video Accessories, Stereo Systems, Portable Radios, Cell Phone Accessories"
Decorative Plumbing,4D,"Decorative Plumbing, Vanities, Faucets, Tubs, Seats, Disposals, Water Heaters"
Basic Plumbing,4Q,"Basic Plumbing, Pipe Fittings, Pipe, Valves, Pumps"
Heating & Cooling,4T,"Heating & Cooling, Venting, Gas Heaters, Duct Tape, A/C Units, Dehumidifiers, Evaporative Coolers, Air Purifiers, Humidifiers, Fans, Heaters, Heat Tapes"
Fastners,5E,"Fasteners, Locks, Home Safety/ Security, Smoke Detectors, Fire Extinguishers, Signs/Letters & Numbers, Mail Boxes, Nails"
Builders Hardware,5R,"Builders Hardware, Replacement Hardware, Chain/Cable/Access,  Surface Protection, Weather-strip, Glass/Acrylic Sheeting, Fencing, Flooring, Lumber,Ceiling Tile,Insulation,Rain Diffusion, Doors/Windows, Tractor Linkage"
Housewares/Storage,6F,"Window Treatments/Shades, Plastic Garbage Cans,  Mirrors, Paper Prod, Bath & Laundry, Plastic Totes, Trash Bags, Shelving, Closet/Garage Storage, Clocks, Portable Lighting, Lamps, Home Décor, Picture Frames, Candles"
Impulse,6I,"Impulse Items, Candy/Snacks"
Housewares/ Appliances,6L,"Small Kitchen Appliances, Major Appliances-Drop Ship Only, Vacuum Cleaners, Personal Care Products, Watches, Weather Instr., Kitchen Gadgets, Bath Scales, Bakeware, Cookware, Glassware, Canning, Indoor Furniture, Door Mats, Cutlery, Flatware, Relaxation Therapy, Hydration "
Live Goods/Soil,7D,"Live Goods, Grass Seed, Salt, Mulch, Plant Food, Landscape Fabric, Soil & Soil Amendments, Ice Melt, Nursery Supplies, Concrete"
Lawn & Garden Chemicals,7G,"Lawn Fertilizers, Chemicals, Insecticides, Rodenticides and Cordage"
Lawn & Garden Hoses & Tools,7O,"Hose, Sprinklers, Nozzles, Underground Irrigation, Bird Feeders & Seed, Garden Tools, Snow Shovels "
Lawn & Garden Power Tools,7X,"Lawn Mowers, Tractors, Snow Blowers, Hand Held Power Equip., Hand Trucks, Lawn Carts, Wheelbarros, Power Equip. Access., Gas Cans, Metal Garbage Can, Gloves, Generators, Pressure Washers"
Outdoor Living,8O,"Outdoor Living Furniture, Outdoor Décor,  Storage Buildings, Coolers,  U.S. Flags, BBQ Grills and BBQ Seasonings"
Sports & Automotive,8J/Z,"Automotive, Marine, Air Compressors, Air Hoses, Hunting, Camping, Sporting Goods, Pocket Knives, Chamois, Workwear, Rainwear"
Trim / Toys  / Pets,9H/K,"Trim-A-Tree,  Halloween,  Pool Chemicals & Access, Toys,  Bikes & Bike Access, Wagons,  Swing Sets, Pet Supplies, Stationery"
